Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Norm Type (norm_type),Categorized By (category),Registrations (registrations),Region Type 
2023-02-01,Punjab,3,Sdm Jalandhar-11,PB90,Bharat Stage VI,Norm,16.0,North India
2022-12-01,Kerala,32,Changanacherry Srto,KL33,Bharat Stage VI,Norm,678.0,South India
2023-11-01,Haryana,6,"Rta, Panchkula",HR68,Bharat Stage VI,Norm,194.0,Northcentral India
2020-03-01,Jharkhand,20,Dto Office Dumka,JH4,Bharat Stage III (CEV),Norm,8.0,East India
2019-09-01,Punjab,3,Ahmedgarh Sdm,PB82,Bharat Stage IV,Norm,35.0,North India
2021-08-01,Madhya Pradesh,23,Katni Arto,MP21,Bharat Stage IV,Norm,1.0,Northcentral India
2024-03-01,Odisha,21,Kendrapara Rto,OR29,Bharat Stage IV (CEV),Norm,1.0,East India
2019-02-01,Odisha,21,Talcher Rto,OR35,Bharat Stage IV,Norm,761.0,East India
2019-03-01,Punjab,3,Jalalabad Sdm,PB61,Bharat Stage IV,Norm,284.0,North India
2022-12-01,Himachal Pradesh,2,Rla Nadaun,HP55,Not Available,Norm,3.0,North India
2019-08-01,Rajasthan,8,Jhalawar Dto,RJ17,Bharat Stage IV,Norm,1322.0,Northcentral India
2021-10-01,Tamil Nadu,33,Mayiladuthurai Rto,TN589,Not Available,Norm,2.0,South India
2021-05-01,Karnataka,29,Chintamani Arto,KA67,Bharat (Trem) Stage III A,Norm,1.0,South India
2021-03-01,Haryana,6,Dabwali,HR25,Bharat (Trem) Stage III A,Norm,64.0,Northcentral India
2024-02-01,Uttar Pradesh,9,Padrauna(Kushi Nagar),UP57,Bharat Stage VI,Norm,3766.0,Northcentral India
2021-09-01,The Dadra And Nagar Haveli And Daman And Diu,38,Daman,DD3,Bharat (Trem) Stage III A,Norm,2.0,
2019-03-01,Chhattisgarh,22,Jashpur Dto,CG14,Bharat Stage IV,Norm,2185.0,East India
2020-12-01,Tamil Nadu,33,Kallakurichi Rto,TN615,Not Available,Norm,2.0,South India
2021-10-01,Kerala,32,Chittur Srto,KL70,Bharat Stage VI,Norm,493.0,South India
2023-12-01,Rajasthan,8,Pipar City Dto,RJ54,Not Available,Norm,21.0,Northcentral India
2019-05-01,Uttar Pradesh,9,Sahjahanpur,UP27,Bharat (Trem) Stage III,Norm,1.0,Northcentral India
2022-02-01,Maharashtra,27,Akola,MH30,Bharat Stage V (CEV),Norm,2.0,West India
2021-09-01,Punjab,3,Sdm Ahmedgarh,PB82,Bharat Stage VI,Norm,89.0,North India
2020-04-01,Andhra Pradesh,28,Tenali Uo,AP707,Bharat Stage IV,Norm,88.0,South India
2021-04-01,Punjab,3,Sdm Bhikhiwind,PB88,Bharat (Trem) Stage III,Norm,1.0,North India
2021-07-01,Tamil Nadu,33,Avinashi Uo,TN580,Bharat Stage III (CEV),Norm,2.0,South India
2023-04-01,Haryana,6,Gurugram South,HR72,Bharat Stage III (CEV),Norm,1.0,Northcentral India
2020-03-01,Haryana,6,Bhiwani,HR16,Bharat (Trem) Stage III,Norm,1.0,Northcentral India
2019-06-01,Assam,18,Morigaon,AS21,Bharat (Trem) Stage III,Norm,1.0,Northeast India
2023-01-01,Haryana,6,Sdm Office Kalka,HR49,Bharat Stage IV,Norm,8.0,Northcentral India
2020-02-01,Mizoram,15,Champhai,MZ4,Bharat Stage IV,Norm,72.0,Northeast India
2020-01-01,Assam,18,Biswanath Chariali,AS32,Bharat Stage VI,Norm,12.0,Northeast India
2019-11-01,Himachal Pradesh,2,Rla Nagrota Bagwan,HP94,Bharat Stage IV/VI,Norm,12.0,North India
2023-08-01,Uttar Pradesh,9,Sant Kabir Nagar,UP58,Not Available,Norm,87.0,Northcentral India
2021-08-01,Punjab,3,Rto Ludhiana,PB10,Bharat Stage I,Norm,1.0,North India
2023-06-01,Rajasthan,8,Jalore Dto,RJ16,Bharat Stage IV (CEV),Norm,6.0,Northcentral India
2022-01-01,Tamil Nadu,33,Tiruvarur Rto,TN50,Bharat (Trem) Stage III A,Norm,15.0,South India
2019-11-01,Uttar Pradesh,9,Baghpat,UP17,Bharat (Trem) Stage III A,Norm,54.0,Northcentral India
2022-03-01,Tamil Nadu,33,Alangudi Uo,TN641,Bharat Stage VI,Norm,518.0,South India
2021-11-01,Maharashtra,27,Amrawati,MH27,Bharat Stage VI,Norm,3778.0,West India
2021-03-01,Tamil Nadu,33,Tindivanam Rto,TN571,Bharat (Trem) Stage III A,Norm,66.0,South India
2021-04-01,Maharashtra,27,Ambejogai,MH44,Bharat (Trem) Stage III A,Norm,10.0,West India
2019-11-01,West Bengal,19,Arambag Arto,WB18,Bharat Stage VI,Norm,2.0,East India
2020-12-01,Maharashtra,27,Mumbai (Central),MH1,Bharat Stage I,Norm,1.0,West India
2020-03-01,Punjab,3,Sdm Ajnala,PB14,Bharat Stage IV,Norm,425.0,North India
2019-08-01,Haryana,6,Tosham,HR48,Bharat Stage IV,Norm,239.0,Northcentral India
2019-06-01,Rajasthan,8,Kota Rto,RJ20,Bharat Stage IV,Norm,3557.0,Northcentral India
2019-01-01,Madhya Pradesh,23,Seoni Arto,MP22,Bharat (Trem) Stage III A,Norm,1.0,Northcentral India
2022-01-01,Uttar Pradesh,9,Sahjahanpur,UP27,Bharat (Trem) Stage III,Norm,9.0,Northcentral India
2022-04-01,Meghalaya,17,Khliehriat,ML11,Bharat Stage III,Norm,4.0,Northeast India
2023-07-01,Rajasthan,8,Alwar Rto,RJ2,Bharat (Trem) Stage III A,Norm,550.0,Northcentral India
2023-10-01,Gujarat,24,Bardoli,GJ19,Not Available,Norm,90.0,West India
2021-06-01,Rajasthan,8,Phalodi Dto,RJ43,Bharat (Trem) Stage III A,Norm,105.0,Northcentral India
2019-09-01,Rajasthan,8,Sahapura (Bhilwara) Dto,RJ51,Bharat Stage IV/VI,Norm,24.0,Northcentral India
2021-02-01,Karnataka,29,Bidar Rto,KA38,Bharat Stage III (CEV),Norm,6.0,South India
2019-10-01,Haryana,6,Gohana,HR11,Bharat (Trem) Stage III,Norm,1.0,Northcentral India
2022-03-01,Kerala,32,Chengannur Srto,KL30,Not Available,Norm,17.0,South India
2019-11-01,Punjab,3,Morinda Sdm,PB87,Bharat Stage VI,Norm,4.0,North India
2021-06-01,Sikkim,11,Soreng,SK6,Bharat Stage VI,Norm,23.0,East India
2022-05-01,Kerala,32,Kottayam Rto,KL5,Not Available,Norm,51.0,South India
2020-10-01,Punjab,3,Rto Sbs Nagar,PB32,Bharat (Trem) Stage III A,Norm,37.0,North India
2021-04-01,Karnataka,29,Chintamani Arto,KA67,Bharat Stage IV,Norm,5.0,South India
2021-02-01,Karnataka,29,Karwar Rto,KA30,Bharat Stage VI,Norm,360.0,South India
2021-11-01,Odisha,21,Mayurbhanj Rto,OR11,Bharat Stage IV (CEV),Norm,2.0,East India
2019-03-01,Bihar,10,Lakhisarai,BR53,Bharat (Trem) Stage III A,Norm,58.0,East India
2019-05-01,Andhra Pradesh,28,Rajahmundry Rta,AP105,Bharat Stage III,Norm,3.0,South India
2021-07-01,Kerala,32,Nilambur Srto,KL71,Bharat Stage III/IV,Norm,12.0,South India
2022-06-01,Maharashtra,27,Srirampur,MH17,Bharat (Trem) Stage III,Norm,1.0,West India
2020-01-01,Kerala,32,Nedumangadu Srto,KL21,Bharat Stage VI,Norm,60.0,South India
2023-12-01,Karnataka,29,Udupi Rto,KA20,Not Available,Norm,188.0,South India
2023-10-01,Gujarat,24,Bharuch,GJ16,Bharat (Trem) Stage IV,Norm,5.0,West India
2023-07-01,Uttar Pradesh,9,Bandarto,UP90,Bharat Stage IV (CEV),Norm,1.0,Northcentral India
2023-03-01,Haryana,6,Sdm Bilaspur,HR71,Not Available,Norm,8.0,Northcentral India
2020-10-01,Bihar,10,Katihar,BR39,Bharat (Trem) Stage III A,Norm,136.0,East India
2024-05-01,Haryana,6,Gurugram South,HR72,Bharat Stage IV (CEV),Norm,1.0,Northcentral India
2019-03-01,Andhra Pradesh,28,Bapatla Mvi Office,AP207,Not Available,Norm,58.0,South India
2021-11-01,Uttar Pradesh,9,Ayodhya Rto,UP42,Bharat Stage IV (CEV),Norm,5.0,Northcentral India
2022-07-01,Odisha,21,Sundergarh Rto,OR16,Bharat Stage III (CEV),Norm,2.0,East India
2022-12-01,Arunachal Pradesh,12,Tawang,AR3,Bharat Stage IV (CEV),Norm,2.0,Northeast India
2020-02-01,Uttar Pradesh,9,Bareilly,UP25,Bharat Stage II,Norm,1.0,Northcentral India
2020-01-01,Uttar Pradesh,9,Mathura,UP85,Bharat (Trem) Stage III A,Norm,277.0,Northcentral India
2020-04-01,Chhattisgarh,22,Raipur Rto,CG4,Bharat (Trem) Stage III A,Norm,1.0,East India
2020-09-01,Kerala,32,Kozhikode Rto,KL11,Not Available,Norm,6.0,South India
2019-10-01,Tamil Nadu,33,Kancheepuram Rto,TN21,Bharat (Trem) Stage III A,Norm,10.0,South India
2021-07-01,Gujarat,24,Rajkot,GJ3,Bharat Stage III (CEV),Norm,17.0,West India
2020-09-01,Karnataka,29,Mangalore Rto,KA19,Not Available,Norm,10.0,South India
2024-02-01,Tamil Nadu,33,Vadipatti Uo,TN599,Bharat Stage III (CEV),Norm,1.0,South India
2024-02-01,Punjab,3,Sdm Kharar,PB27,Bharat (Trem) Stage IV,Norm,6.0,North India
2020-10-01,Rajasthan,8,Bundi Dto,RJ8,Bharat Stage VI,Norm,1189.0,Northcentral India
2021-02-01,Tamil Nadu,33,Thiruthuraipoondi Uo,TN630,Not Available,Norm,1.0,South India
2024-01-01,Punjab,3,Rto Ropar,PB12,Bharat Stage IV (CEV),Norm,2.0,North India
2024-01-01,Kerala,32,Mannarghat Srto,KL50,Bharat Stage VI,Norm,526.0,South India
2023-07-01,Haryana,6,"Rta, Panchkula",HR68,Not Available,Norm,8.0,Northcentral India
2022-02-01,Jammu And Kashmir,1,Anantnag Arto,JK3,Bharat Stage IV (CEV),Norm,2.0,
2023-12-01,Tamil Nadu,33,Srirangam Rto,TN48,Bharat Stage VI,Norm,722.0,South India
2024-02-01,Kerala,32,Thirur Srto,KL55,Bharat Stage IV (CEV),Norm,3.0,South India
2019-09-01,Bihar,10,Kishanganj,BR37,Bharat Stage IV,Norm,2054.0,East India
2019-08-01,Uttar Pradesh,9,Bareilly,UP25,Bharat Stage III (CEV),Norm,4.0,Northcentral India
2023-04-01,Haryana,6,Kosli,HR43,Not Available,Norm,3.0,Northcentral India
2021-04-01,Chhattisgarh,22,Rajnandgaon Arto,CG8,Bharat (Trem) Stage III A,Norm,30.0,East India
2020-08-01,Karnataka,29,"Tarikere, Chikkamagaluru Arto",KA66,Not Available,Norm,20.0,South India
2019-05-01,Himachal Pradesh,2,Rla Shahpur,HP90,Bharat (Trem) Stage III A,Norm,1.0,North India
2020-09-01,Kerala,32,Perinthalmanna Srto,KL53,Bharat Stage IV,Norm,1.0,South India
2020-07-01,Punjab,3,Sdm Ajnala,PB14,Bharat (Trem) Stage III A,Norm,10.0,North India
2022-11-01,Karnataka,29,Hunsur Arto,KA45,Bharat Stage VI,Norm,525.0,South India
2020-02-01,Bihar,10,Bhojpur,BR3,Not Available,Norm,55.0,East India
2019-09-01,Jammu And Kashmir,1,Kathua Rto,JK8,Bharat Stage III (CEV),Norm,1.0,
2019-06-01,Haryana,6,Narwana,HR32,Bharat Stage III (CEV),Norm,2.0,Northcentral India
2022-09-01,Karnataka,29,Dharwad East Rto,KA63,Bharat Stage III (CEV),Norm,2.0,South India
2023-09-01,Himachal Pradesh,2,Rla Haroli,HP80,Bharat Stage III (CEV),Norm,1.0,North India
2022-04-01,Uttar Pradesh,9,Ferozabad,UP83,Bharat Stage VI,Norm,3400.0,Northcentral India
2024-02-01,Maharashtra,27,Gadchiroli,MH33,Bharat (Trem) Stage III A,Norm,127.0,West India
2020-09-01,Tamil Nadu,33,Ramanathapuram Rto,TN65,Not Applicable,Norm,2.0,South India
2021-05-01,Madhya Pradesh,23,Sheopur Dto,MP31,Bharat (Trem) Stage III A,Norm,1.0,Northcentral India
2020-11-01,Kerala,32,Nilambur Srto,KL71,Bharat Stage III,Norm,12661.0,South India
2021-09-01,Himachal Pradesh,2,Rto Chamba,HP73,Bharat (Trem) Stage III A,Norm,2.0,North India
2021-04-01,Tamil Nadu,33,Coimbatore (South) Rto,TN37,Bharat (Trem) Stage III A,Norm,6.0,South India
2019-08-01,Karnataka,29,Bantwala Arto,KA70,Bharat Stage IV,Norm,611.0,South India
2023-04-01,Punjab,3,Rto Ropar,PB12,Bharat Stage VI,Norm,313.0,North India
2022-05-01,West Bengal,19,Islampur Arto,WB91,Bharat Stage VI,Norm,878.0,East India
2022-06-01,Chhattisgarh,22,Rajnandgaon Arto,CG8,Bharat Stage V (CEV),Norm,2.0,East India
2020-01-01,Uttarakhand,5,Haridwar Arto,UK8,Bharat Stage IV,Norm,1713.0,
2022-12-01,Haryana,6,"Rta, Ynr",HR58,Not Available,Norm,68.0,Northcentral India
2020-11-01,Haryana,6,Karnal,HR5,Bharat (Trem) Stage III,Norm,1.0,Northcentral India
2022-01-01,Tamil Nadu,33,Thirupattur Rto,TN624,Bharat (Trem) Stage III A,Norm,23.0,South India
2019-10-01,Haryana,6,Hisar,HR20,Bharat (Trem) Stage III,Norm,2.0,Northcentral India
2023-09-01,Madhya Pradesh,23,Seoni Arto,MP22,Not Available,Norm,29.0,Northcentral India
2020-09-01,Karnataka,29,Kolar Rto,KA7,Not Applicable,Norm,1.0,South India
